Loading data from data\sign_mnist_train.npy ...
Loading data from data\sign_mnist_test.npy ...
Generating model graph visualization at results\20181219-073225\model ...

(dot.exe:3556): Pango-WARNING **: couldn't load font "Times Not-Rotated 10", falling back to "Sans Not-Rotated 10", expect ugly output.
Using CUDA!
===== HYPERPARAMETERS =====
batch_size= 32
epochs= 8
learning_rate= 0.001
==============================
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 3.22, acc: 0.05, time: 4.42s
[Train] Epoch 4, 30% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 4, 40% 	 loss: 0.15, acc: 0.94, time: 0.72s
[Train] Epoch 4, 50% 	 loss: 0.66, acc: 0.88, time: 0.72s
[Train] Epoch 4, 60% 	 loss: 0.18, acc: 0.97, time: 0.73s
[Train] Epoch 4, 70% 	 loss: 0.00, acc: 1.00, time: 0.70s
[Train] Epoch 4, 80% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 4, 90% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.29, acc: 0.95, time: 3.70s
[Train] Epoch 5, 10% 	 loss: 0.10, acc: 0.97, time: 4.08s
[Train] Epoch 5, 20% 	 loss: 0.00, acc: 1.00, time: 0.70s
[Train] Epoch 5, 30% 	 loss: 0.07, acc: 0.97, time: 0.72s
[Train] Epoch 5, 40% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 5, 50% 	 loss: 0.42, acc: 0.91, time: 0.69s
[Train] Epoch 5, 60% 	 loss: 0.06, acc: 0.97, time: 0.71s
[Train] Epoch 5, 70% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 5, 80% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 5, 90% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.32, acc: 0.95, time: 3.68s
[Train] Epoch 6, 10% 	 loss: 0.00, acc: 1.00, time: 4.06s
[Train] Epoch 6, 20% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 6, 30% 	 loss: 0.13, acc: 0.97, time: 0.74s
[Train] Epoch 6, 40% 	 loss: 0.03, acc: 0.97, time: 0.71s
[Train] Epoch 6, 50% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 6, 60% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 6, 70% 	 loss: 0.00, acc: 1.00, time: 0.73s
[Train] Epoch 6, 80% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 6, 90% 	 loss: 0.08, acc: 0.97, time: 0.74s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.21, acc: 0.97, time: 3.71s
[Train] Epoch 7, 10% 	 loss: 0.00, acc: 1.00, time: 4.09s
[Train] Epoch 7, 20% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 7, 30% 	 loss: 0.21, acc: 0.97, time: 0.72s
[Train] Epoch 7, 40% 	 loss: 0.07, acc: 0.97, time: 0.72s
[Train] Epoch 7, 50% 	 loss: 0.06, acc: 0.97, time: 0.70s
[Train] Epoch 7, 60% 	 loss: 0.07, acc: 0.97, time: 0.75s
[Train] Epoch 7, 70% 	 loss: 1.50, acc: 0.94, time: 0.72s
[Train] Epoch 7, 80% 	 loss: 0.15, acc: 0.97, time: 0.73s
[Train] Epoch 7, 90% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.22, acc: 0.98, time: 3.71s
[Train] Epoch 8, 10% 	 loss: 0.00, acc: 1.00, time: 4.06s
[Train] Epoch 8, 20% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 8, 30% 	 loss: 0.00, acc: 1.00, time: 0.73s
[Train] Epoch 8, 40% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 8, 50% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 8, 60% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 8, 70% 	 loss: 0.00, acc: 1.00, time: 0.70s
[Train] Epoch 8, 80% 	 loss: 0.20, acc: 0.97, time: 0.72s
[Train] Epoch 8, 90% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.26, acc: 0.97, time: 3.72s
Training finished, took 119.61s
