Loading data from data\sign_mnist_train.npy ...
Loading data from data\sign_mnist_test.npy ...
Generating model graph visualization at results\20181219-070313\model ...

(dot.exe:30016): Pango-WARNING **: couldn't load font "Times Not-Rotated 10", falling back to "Sans Not-Rotated 10", expect ugly output.
Using CUDA!
===== HYPERPARAMETERS =====
batch_size= 32
epochs= 8
learning_rate= 0.001
==============================
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 3.22, acc: 0.02, time: 4.39s
[Train] Epoch 3, 20% 	 loss: 0.02, acc: 1.00, time: 0.74s
[Train] Epoch 3, 30% 	 loss: 0.00, acc: 1.00, time: 0.71s
[Train] Epoch 3, 40% 	 loss: 0.18, acc: 0.94, time: 0.79s
[Train] Epoch 3, 50% 	 loss: 0.00, acc: 1.00, time: 0.72s
[Train] Epoch 3, 60% 	 loss: 0.00, acc: 1.00, time: 0.70s
[Train] Epoch 3, 70% 	 loss: 0.01, acc: 1.00, time: 0.70s
[Train] Epoch 3, 80% 	 loss: 0.00, acc: 1.00, time: 0.69s
[Train] Epoch 3, 90% 	 loss: 0.06, acc: 0.97, time: 0.65s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.20, acc: 0.96, time: 3.63s
[Train] Epoch 4, 10% 	 loss: 0.00, acc: 1.00, time: 4.03s
[Train] Epoch 4, 20% 	 loss: 0.05, acc: 0.97, time: 0.62s
[Train] Epoch 4, 30% 	 loss: 0.13, acc: 0.97, time: 0.64s
[Train] Epoch 4, 40% 	 loss: 0.04, acc: 0.97, time: 0.61s
[Train] Epoch 4, 50% 	 loss: 0.02, acc: 1.00, time: 0.65s
[Train] Epoch 4, 60% 	 loss: 0.01, acc: 1.00, time: 0.62s
[Train] Epoch 4, 70% 	 loss: 0.01, acc: 1.00, time: 0.61s
[Train] Epoch 4, 80% 	 loss: 0.09, acc: 0.94, time: 0.64s
[Train] Epoch 4, 90% 	 loss: 0.00, acc: 1.00, time: 0.64s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.14, acc: 0.97, time: 3.59s
[Train] Epoch 5, 10% 	 loss: 0.09, acc: 0.97, time: 3.99s
[Train] Epoch 5, 20% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Train] Epoch 5, 30% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Train] Epoch 5, 40% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Train] Epoch 5, 50% 	 loss: 0.00, acc: 1.00, time: 0.61s
[Train] Epoch 5, 60% 	 loss: 0.02, acc: 1.00, time: 0.64s
[Train] Epoch 5, 70% 	 loss: 0.02, acc: 1.00, time: 0.62s
[Train] Epoch 5, 80% 	 loss: 0.01, acc: 1.00, time: 0.62s
[Train] Epoch 5, 90% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.18, acc: 0.96, time: 3.59s
[Train] Epoch 6, 10% 	 loss: 0.05, acc: 1.00, time: 3.99s
[Train] Epoch 6, 20% 	 loss: 0.03, acc: 1.00, time: 0.64s
[Train] Epoch 6, 30% 	 loss: 0.21, acc: 0.94, time: 0.64s
[Train] Epoch 6, 40% 	 loss: 0.03, acc: 0.97, time: 0.62s
[Train] Epoch 6, 50% 	 loss: 0.24, acc: 0.97, time: 0.63s
[Train] Epoch 6, 60% 	 loss: 0.00, acc: 1.00, time: 0.63s
[Train] Epoch 6, 70% 	 loss: 0.00, acc: 1.00, time: 0.63s
[Train] Epoch 6, 80% 	 loss: 0.01, acc: 1.00, time: 0.63s
[Train] Epoch 6, 90% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.22, acc: 0.95, time: 3.58s
[Train] Epoch 7, 10% 	 loss: 0.04, acc: 0.97, time: 3.99s
[Train] Epoch 7, 20% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Train] Epoch 7, 30% 	 loss: 0.00, acc: 1.00, time: 0.63s
[Train] Epoch 7, 40% 	 loss: 0.21, acc: 0.97, time: 0.61s
[Train] Epoch 7, 50% 	 loss: 0.00, acc: 1.00, time: 0.63s
[Train] Epoch 7, 60% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Train] Epoch 7, 70% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Train] Epoch 7, 80% 	 loss: 0.01, acc: 1.00, time: 0.63s
[Train] Epoch 7, 90% 	 loss: 0.00, acc: 1.00, time: 0.65s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.13, acc: 0.97, time: 3.57s
[Train] Epoch 8, 10% 	 loss: 0.00, acc: 1.00, time: 4.17s
[Train] Epoch 8, 20% 	 loss: 0.00, acc: 1.00, time: 0.73s
[Train] Epoch 8, 30% 	 loss: 0.01, acc: 1.00, time: 0.68s
[Train] Epoch 8, 40% 	 loss: 0.04, acc: 0.97, time: 0.63s
[Train] Epoch 8, 50% 	 loss: 0.09, acc: 0.97, time: 0.62s
[Train] Epoch 8, 60% 	 loss: 0.00, acc: 1.00, time: 0.68s
[Train] Epoch 8, 70% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Train] Epoch 8, 80% 	 loss: 0.00, acc: 1.00, time: 0.63s
[Train] Epoch 8, 90% 	 loss: 0.00, acc: 1.00, time: 0.62s
[Test] Beginning with test with 225 batches
[Test] Test finished, loss: 0.16, acc: 0.96, time: 3.63s
Training finished, took 114.03s
